Source,Target,Dataset_name
APPLICATION_ID,appl_id,NIH_2021
FULL_PROJECT_NUM,project_num,NIH_2021
FUNDING_ICS,agency_ic_admin.code,NIH_2021
FY,fiscal_year,NIH_2021
ORG_DUNS,organization.org_duns,NIH_2021
SUBPROJECT_ID,subproject_id,NIH_2021
TOTAL_COST,agency_ic_fundings.total_cost,NIH_2021
TOTAL_COST_SUB_PROJECT,agency_ic_fundings.total_cost_sub_project,NIH_2021
ACTIVITY,is_active,NIH_2021
ADMINISTERING_IC,agency_ic_admin.abbreviation,NIH_2021
APPLICATION_TYPE,project_num_split.appl_type_code,NIH_2021
ARRA_FUNDED,arra_funded,NIH_2021
AWARD_NOTICE_DATE,award_notice_date,NIH_2021
BUDGET_START,budget_start,NIH_2021
BUDGET_END,budget_end,NIH_2021
CFDA_CODE,cfda_code,NIH_2021
CORE_PROJECT_NUM,core_project_num,NIH_2021
ED_INST_TYPE,organization_type.code,NIH_2021
FOA_NUMBER,full_foa,NIH_2021
FUNDING_MECHANISM,funding_mechanism,NIH_2021
IC_NAME,agency_ic_admin.name,NIH_2021
NIH_SPENDING_CATS,spending_categories,NIH_2021
ORG_CITY,organization.org_city,NIH_2021
ORG_COUNTRY,organization.org_country,NIH_2021
ORG_DEPT,organization.dept_type,NIH_2021
ORG_DISTRICT,organization.org_district,NIH_2021
ORG_FIPS,organization.org_fips,NIH_2021
ORG_IPF_CODE,organization.org_ipf_code,NIH_2021
ORG_NAME,organization.org_name,NIH_2021
ORG_STATE,organization.org_state,NIH_2021
ORG_ZIPCODE,organization.org_zipcode,NIH_2021
PHR,phr_text,NIH_2021
PI_IDS,principal_investigators.profile_id,NIH_2021
PI_NAMEs,principal_investigators.full_name,NIH_2021
PROGRAM_OFFICER_NAME,program_officers.full_name,NIH_2021
PROJECT_START,project_start_date,NIH_2021
PROJECT_END,project_end_date,NIH_2021
PROJECT_TERMS,terms,NIH_2021
PROJECT_TITLE,project_title,NIH_2021
SERIAL_NUMBER,project_serial_num,NIH_2021
STUDY_SECTION,full_study_section.group_code,NIH_2021
STUDY_SECTION_NAME,full_study_section.name,NIH_2021
SUFFIX,project_num_split.suffix_code,NIH_2021
SUPPORT_YEAR,project_num_split.support_year,NIH_2021
DIRECT_COST_AMT,direct_cost_amt,NIH_2021
INDIRECT_COST_AMT,indirect_cost_amt,NIH_2021
ABSTRACT_TEXT,abstract_text,NIH_2021
appl_id,appl_id,NIH_2023
