pmid|biotype|identifier_type
25098926|disease|pmid
"11438723|mint:MINT-5214238"|molecular interactions|pmid
11568182|molecular interactions|pmid
17344222|molecular interactions|pmid
"10075728|imex:IM-27110"|molecular interactions|pmid
3341436|disease|pmid
16769024|disease|pmid
27661126|disease|pmid
21906006|disease|pmid
16487239|disease|pmid
16216474|disease|pmid
16861921|molecular interactions|pmid
21678921|molecular interactions|pmid
26451915|molecular interactions|pmid
"imex:IM-11855|16616331"|molecular interactions|
12486030|molecular interactions|pmid
16788709|disease|pmid
11689432|molecular interactions|pmid
16106251|disease|pmid
24706829|molecular interactions|pmid
22365546|molecular interactions|pmid
20547757|molecular interactions|pmid
33833131|molecular interactions|pmid
10212196|molecular interactions|pmid
12632326|disease|pmid
23767834|disease|pmid
11927607|molecular interactions|pmid
26787466|molecular interactions|pmid
9036878|disease|pmid
11134022|molecular interactions|pmid
"21822258|imex:IM-20790"|molecular interactions|pmid
"mint:fj-12-0780|23164465|mint:MINT-8401898"|molecular interactions|
26975471|molecular interactions|pmid
16508750|disease|pmid
8557685|molecular interactions|pmid
15772076|molecular interactions|pmid
23950209|disease|pmid
"11337495|mint:MINT-6673289"|molecular interactions|pmid
12716924|molecular interactions|pmid
20371724|molecular interactions|pmid
7838715|molecular interactions|pmid
22328194|disease|pmid
21923989|disease|pmid
20204449|molecular interactions|pmid
19805516|molecular interactions|pmid
"doi:10.1074/jbc.M707319200|18162466|mint:MINT-8296472"|molecular interactions|
12200149|molecular interactions|pmid
"12847286|mint:MINT-8216832|doi:10.1073/pnas.1033097100"|molecular interactions|pmid
18328165|disease|pmid
10679771|molecular interactions|pmid
20944126|disease|pmid
16878124|molecular interactions|pmid
15178892|disease|pmid
19426868|molecular interactions|pmid
21722073|disease|pmid
22374185|disease|pmid
10224145|molecular interactions|pmid
9063449|molecular interactions|pmid
19553684|molecular interactions|pmid
9973300|disease|pmid
17355907|molecular interactions|pmid
10779765|molecular interactions|pmid
18547596|molecular interactions|pmid
18797151|molecular interactions|pmid
8810255|disease|pmid
"19571879|doi:10.1038/nature08137|imex:IM-21502"|molecular interactions|pmid
10581185|molecular interactions|pmid
21710629|disease|pmid
12507430|molecular interactions|pmid
6158114|disease|pmid
29471894|disease|pmid
27542258|disease|pmid
18776587|disease|pmid
18771417|disease|pmid
22077973|disease|pmid
27462448|molecular interactions|pmid
14657873|disease|pmid
17182012|disease|pmid
7809090|molecular interactions|pmid
28101643|disease|pmid
27168825|disease|pmid
18058603|disease|pmid
19260470|disease|pmid
11836260|molecular interactions|pmid
33132134|molecular interactions|pmid
20074640|molecular interactions|pmid
"mint:MINT-5220533|7706237"|molecular interactions|
33495326|molecular interactions|pmid
17965022|molecular interactions|pmid
19122240|molecular interactions|pmid
"imex:IM-25319|26879394"|molecular interactions|
26113413|disease|pmid
