dataset_uuid,dataset_hubmap_id,dataset_status,dataset_group_name,dataset_group_uuid,dataset_date_time_created,dataset_created_by_email,dataset_date_time_modified,dataset_modified_by_email,lab_id_or_name,dataset_data_types,dataset_portal_url,first_sample_hubmap_id,first_sample_submission_id,first_sample_uuid,first_sample_type,first_sample_portal_url,organ_hubmap_id,organ_submission_id,organ_uuid,organ_type,donor_hubmap_id,donor_submission_id,donor_uuid,donor_group_name,rui_location_hubmap_id,rui_location_submission_id,rui_location_uuid,sample_metadata_hubmap_id,sample_metadata_submission_id,sample_metadata_uuid,processed_dataset_uuid,processed_dataset_hubmap_id,processed_dataset_status,processed_dataset_portal_url,previous_version_hubmap_ids
7eef1634020f429f9855ff319ff0c65e,HBM362.PTQJ.743,Published,Vanderbilt TMC,73bb26e4-ed43-11e8-8f19-0a7c1eab007a,5/18/2020 1:52,spraggj@vanderbilt.edu,2/12/2022 4:35,ZHY19@pitt.edu,Periodic acid-Schiff Stained Microscopy of Human Kidney Tissue,PAS Stained Microscopy,https://portal.hubmapconsortium.org/browse/dataset/7eef1634020f429f9855ff319ff0c65e,HBM953.SQPG.639,VAN0007-LK-203-103,b8f8acd3659ac151092f6a8346150a06,section,https://portal.hubmapconsortium.org/browse/sample/b8f8acd3659ac151092f6a8346150a06,HBM865.MWHF.489,VAN0007-LK,8e90c3bfa86c1a363dbcfe39d18f38b6,kidney (left),HBM758.JRSC.348,VAN0007,96a667104f92a38f5d4f97c38d94e738,Vanderbilt TMC,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,"https://portal.hubmapconsortium.org/browse/dataset/eb975811a1a3005622c4da37d948117e,https://portal.hubmapconsortium.org/browse/dataset/23f1637a0a90fdd2a8feece44d00c22e","['HBM464.WTRB.762', 'HBM829.NPFP.957']","['Published', 'Published']","['https://portal.hubmapconsortium.org/browse/dataset/eb975811a1a3005622c4da37d948117e', 'https://portal.hubmapconsortium.org/browse/dataset/23f1637a0a90fdd2a8feece44d00c22e']",
1d1a8376b558398588f92688314f23c5,HBM739.JKQC.464,Published,Vanderbilt TMC,73bb26e4-ed43-11e8-8f19-0a7c1eab007a,5/18/2020 1:52,spraggj@vanderbilt.edu,2/12/2022 4:54,ZHY19@pitt.edu,MALDI Imaging Mass Spectrometry of Human Kidney Tissue - Positive Ion Mode,MALDI IMS,https://portal.hubmapconsortium.org/browse/dataset/1d1a8376b558398588f92688314f23c5,HBM953.SQPG.639,VAN0007-LK-203-103,b8f8acd3659ac151092f6a8346150a06,section,https://portal.hubmapconsortium.org/browse/sample/b8f8acd3659ac151092f6a8346150a06,HBM865.MWHF.489,VAN0007-LK,8e90c3bfa86c1a363dbcfe39d18f38b6,kidney (left),HBM758.JRSC.348,VAN0007,96a667104f92a38f5d4f97c38d94e738,Vanderbilt TMC,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,https://portal.hubmapconsortium.org/browse/dataset/a9e97dfb17c7fe08a9c4590318955095,['HBM478.ZBVG.942'],['Published'],['https://portal.hubmapconsortium.org/browse/dataset/a9e97dfb17c7fe08a9c4590318955095'],
d4fae29feb0215a11b6e4d3072107e09,HBM889.NSRP.924,Published,Vanderbilt TMC,73bb26e4-ed43-11e8-8f19-0a7c1eab007a,5/18/2020 1:52,spraggj@vanderbilt.edu,2/12/2022 4:44,ZHY19@pitt.edu,MALDI Imaging Mass Spectrometry of Human Kidney Tissue - Positive Ion Mode,MALDI IMS,https://portal.hubmapconsortium.org/browse/dataset/d4fae29feb0215a11b6e4d3072107e09,HBM953.SQPG.639,VAN0007-LK-203-103,b8f8acd3659ac151092f6a8346150a06,section,https://portal.hubmapconsortium.org/browse/sample/b8f8acd3659ac151092f6a8346150a06,HBM865.MWHF.489,VAN0007-LK,8e90c3bfa86c1a363dbcfe39d18f38b6,kidney (left),HBM758.JRSC.348,VAN0007,96a667104f92a38f5d4f97c38d94e738,Vanderbilt TMC,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,https://portal.hubmapconsortium.org/browse/dataset/72d7f6895a34be4e0f43df278c675da2,['HBM384.WVWZ.264'],['Published'],['https://portal.hubmapconsortium.org/browse/dataset/72d7f6895a34be4e0f43df278c675da2'],
0a6f5c1afbcc31622eb34daf88c2c016,HBM529.NGCG.277,Published,Vanderbilt TMC,73bb26e4-ed43-11e8-8f19-0a7c1eab007a,5/18/2020 1:52,spraggj@vanderbilt.edu,2/12/2022 15:19,ZHY19@pitt.edu,Autofluorescence Microscopy of Human Kidney Tissue,Autofluorescence Microscopy,https://portal.hubmapconsortium.org/browse/dataset/0a6f5c1afbcc31622eb34daf88c2c016,HBM953.SQPG.639,VAN0007-LK-203-103,b8f8acd3659ac151092f6a8346150a06,section,https://portal.hubmapconsortium.org/browse/sample/b8f8acd3659ac151092f6a8346150a06,HBM865.MWHF.489,VAN0007-LK,8e90c3bfa86c1a363dbcfe39d18f38b6,kidney (left),HBM758.JRSC.348,VAN0007,96a667104f92a38f5d4f97c38d94e738,Vanderbilt TMC,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,https://portal.hubmapconsortium.org/browse/dataset/d0b944edce4f7fc2a61321d5dc915a72,['HBM394.CDWG.768'],['Published'],['https://portal.hubmapconsortium.org/browse/dataset/d0b944edce4f7fc2a61321d5dc915a72'],
3683b49e27133c064ccbd59ff9723e7c,HBM472.NTNN.543,Published,University of Florida TMC,07a29e4c-ed43-11e8-b56a-0e8017bdda58,12/18/2019 20:01,jesus.penalozaa@ufl.edu,2/11/2022 19:53,ZHY19@pitt.edu,HBMP2_spleen_2,scRNA-seq (10x Genomics v3),https://portal.hubmapconsortium.org/browse/dataset/3683b49e27133c064ccbd59ff9723e7c,HBM259.JWWT.889,UFL0002-SP-2-2,ed12b3e37fc8dcc4287f4f209eef9c4b,suspension,https://portal.hubmapconsortium.org/browse/sample/ed12b3e37fc8dcc4287f4f209eef9c4b,HBM369.DGXL.358,UFL0002-SP,dd69e57643816e065ab04a8eec2b71b8,spleen,HBM638.SMWG.276,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,HBM259.JWWT.889,UFL0002-SP-2-2,ed12b3e37fc8dcc4287f4f209eef9c4b,HBM259.JWWT.889,UFL0002-SP-2-2,ed12b3e37fc8dcc4287f4f209eef9c4b,https://portal.hubmapconsortium.org/browse/dataset/35a639b983ff85728bdb3cbe0eac360a,['HBM536.GZQR.922'],['Published'],['https://portal.hubmapconsortium.org/browse/dataset/35a639b983ff85728bdb3cbe0eac360a'],
efeae1a9895b88a4ccdbfa35dc98fdf2,HBM968.CJLB.479,Published,University of Florida TMC,07a29e4c-ed43-11e8-b56a-0e8017bdda58,3/18/2022 18:51,hakimianh13@ufl.edu,6/27/2022 17:29,hubmap@hubmapconsortium.org,CX_19-002_SP_CC2-A28,CODEX,https://portal.hubmapconsortium.org/browse/dataset/efeae1a9895b88a4ccdbfa35dc98fdf2,HBM688.DQGM.882,UFL0002-SP-2-4-1,8d912783076037b57986afa62162f41d,section,https://portal.hubmapconsortium.org/browse/sample/8d912783076037b57986afa62162f41d,HBM369.DGXL.358,UFL0002-SP,dd69e57643816e065ab04a8eec2b71b8,spleen,HBM638.SMWG.276,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,"HBM688.DQGM.882,HBM338.TDRB.772","UFL0002-SP-2-4-1,UFL0002-SP-2-4","8d912783076037b57986afa62162f41d,6e23ef9bbe7940257bbc9383bf05b546",HBM688.DQGM.882,UFL0002-SP-2-4-1,8d912783076037b57986afa62162f41d,https://portal.hubmapconsortium.org/browse/dataset/9358adf4674413a0e2ef1a970b66714e,['HBM594.PWXG.764'],['Published'],['https://portal.hubmapconsortium.org/browse/dataset/9358adf4674413a0e2ef1a970b66714e'],
e0ba24d0c4dab528e46aab3f67a1aae8,HBM987.XGTH.368,Published,University of Florida TMC,07a29e4c-ed43-11e8-b56a-0e8017bdda58,2/18/2020 16:16,jesus.penalozaa@ufl.edu,2/11/2022 19:59,ZHY19@pitt.edu,19-002_spleen_CC2-A,CODEX,https://portal.hubmapconsortium.org/browse/dataset/e0ba24d0c4dab528e46aab3f67a1aae8,HBM688.DQGM.882,UFL0002-SP-2-4-1,8d912783076037b57986afa62162f41d,section,https://portal.hubmapconsortium.org/browse/sample/8d912783076037b57986afa62162f41d,HBM369.DGXL.358,UFL0002-SP,dd69e57643816e065ab04a8eec2b71b8,spleen,HBM638.SMWG.276,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,"HBM688.DQGM.882,HBM338.TDRB.772","UFL0002-SP-2-4-1,UFL0002-SP-2-4","8d912783076037b57986afa62162f41d,6e23ef9bbe7940257bbc9383bf05b546",HBM688.DQGM.882,UFL0002-SP-2-4-1,8d912783076037b57986afa62162f41d,"https://portal.hubmapconsortium.org/browse/dataset/bf1e01bb3b747976fe59e2286448efeb,https://portal.hubmapconsortium.org/browse/dataset/29a16817f1337e0a0da1c3454ff99fe7","['HBM732.GQLB.743', 'HBM696.DSTM.687']","['Published', 'Published']","['https://portal.hubmapconsortium.org/browse/dataset/bf1e01bb3b747976fe59e2286448efeb', 'https://portal.hubmapconsortium.org/browse/dataset/29a16817f1337e0a0da1c3454ff99fe7']",
b7a2c05fdd9ddd0c83c9786ede98a24e,HBM558.SRZG.629,Published,University of Florida TMC,07a29e4c-ed43-11e8-b56a-0e8017bdda58,12/20/2019 19:41,jesus.penalozaa@ufl.edu,2/11/2022 19:56,ZHY19@pitt.edu,19-002-SP-CC3-C,CODEX,https://portal.hubmapconsortium.org/browse/dataset/b7a2c05fdd9ddd0c83c9786ede98a24e,HBM827.VSGK.934,UFL0002-SP-3-4-1,3d0e6983c0c7e8354cb4bded851b15b1,section,https://portal.hubmapconsortium.org/browse/sample/3d0e6983c0c7e8354cb4bded851b15b1,HBM369.DGXL.358,UFL0002-SP,dd69e57643816e065ab04a8eec2b71b8,spleen,HBM638.SMWG.276,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,"HBM827.VSGK.934,HBM223.WQVG.533","UFL0002-SP-3-4-1,UFL0002-SP-3-4","3d0e6983c0c7e8354cb4bded851b15b1,19d486f0d168ef0d02291972fb669996",HBM827.VSGK.934,UFL0002-SP-3-4-1,3d0e6983c0c7e8354cb4bded851b15b1,"https://portal.hubmapconsortium.org/browse/dataset/37581089fc2b39aab823a3093bc1381b,https://portal.hubmapconsortium.org/browse/dataset/cd345bb3ea5e91ea915ac8e0e66d235b","['HBM542.THBC.733', 'HBM739.KJCB.594']","['Published', 'Published']","['https://portal.hubmapconsortium.org/browse/dataset/37581089fc2b39aab823a3093bc1381b', 'https://portal.hubmapconsortium.org/browse/dataset/cd345bb3ea5e91ea915ac8e0e66d235b']",
4081680ef553db5f91fb3587dde595b6,HBM373.RTKK.586,Published,University of Florida TMC,07a29e4c-ed43-11e8-b56a-0e8017bdda58,12/18/2019 19:58,jesus.penalozaa@ufl.edu,2/11/2022 19:53,ZHY19@pitt.edu,HBMP2_thymus_2,scRNA-seq (10x Genomics v3),https://portal.hubmapconsortium.org/browse/dataset/4081680ef553db5f91fb3587dde595b6,HBM733.NFWS.792,UFL0002-TH-2-1,cc85586061c13a5fb6adf72c75a32cf9,suspension,https://portal.hubmapconsortium.org/browse/sample/cc85586061c13a5fb6adf72c75a32cf9,HBM585.FCXH.792,UFL0002-TH,1b6c9bf4ce99f6b91e6b9af1a208b6a0,thymus,HBM638.SMWG.276,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,HBM733.NFWS.792,UFL0002-TH-2-1,cc85586061c13a5fb6adf72c75a32cf9,HBM733.NFWS.792,UFL0002-TH-2-1,cc85586061c13a5fb6adf72c75a32cf9,https://portal.hubmapconsortium.org/browse/dataset/3ac0768d61c6c84f0ec59d766e123e05,['HBM538.PHSC.677'],['Published'],['https://portal.hubmapconsortium.org/browse/dataset/3ac0768d61c6c84f0ec59d766e123e05'],
776bd778f20409d8ce2dd8f5bf5789ae,HBM246.VPVL.879,Published,University of Florida TMC,07a29e4c-ed43-11e8-b56a-0e8017bdda58,2/21/2020 15:26,jesus.penalozaa@ufl.edu,2/11/2022 20:01,ZHY19@pitt.edu,19-002_thymus_CC2-C,CODEX,https://portal.hubmapconsortium.org/browse/dataset/776bd778f20409d8ce2dd8f5bf5789ae,HBM663.CXTS.935,UFL0002-TH-2-3-1,0ccf43ecc685e2ce2bd339fb87a240a2,section,https://portal.hubmapconsortium.org/browse/sample/0ccf43ecc685e2ce2bd339fb87a240a2,HBM585.FCXH.792,UFL0002-TH,1b6c9bf4ce99f6b91e6b9af1a208b6a0,thymus,HBM638.SMWG.276,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,"HBM663.CXTS.935,HBM389.MGXT.546","UFL0002-TH-2-3-1,UFL0002-TH-2-3","0ccf43ecc685e2ce2bd339fb87a240a2,8914ee0fd2e790f56b722640397bfb4d",HBM663.CXTS.935,UFL0002-TH-2-3-1,0ccf43ecc685e2ce2bd339fb87a240a2,"https://portal.hubmapconsortium.org/browse/dataset/0cc0ba032f21cf15af1290dd28bf1bd3,https://portal.hubmapconsortium.org/browse/dataset/b69d1e2ad1bf1455eee991fce301b191","['HBM387.QZQK.847', 'HBM366.XKPX.554']","['QA', 'Published']","['https://portal.hubmapconsortium.org/browse/dataset/0cc0ba032f21cf15af1290dd28bf1bd3', 'https://portal.hubmapconsortium.org/browse/dataset/b69d1e2ad1bf1455eee991fce301b191']",
