organ,id,rdfs_label,name,b_type
blood,HGNC:1633,CD19 molecule,CD19,gene
blood,HGNC:8619,paired box 5,PAX5,gene
blood,HGNC:5541,immunoglobulin heavy constant mu,IGHM,gene
blood,HGNC:7315,membrane spanning 4-domains A1,MS4A1,gene
blood,HGNC:1633,CD19,CD19,protein
blood,HGNC:7154,MME,CD10,protein
blood,HGNC:7315,MS4A1,CD20,protein
blood,HGNC:5541,IGHM,IgM,protein
blood,HGNC:5480,IGHD,IgD,protein
blood,HGNC:5478,immunoglobulin heavy constant alpha 1,IGHA1,gene
blood,HGNC:5525,immunoglobulin heavy constant gamma 1 (G1m marker),IGHG1,gene
blood,HGNC:6210,CD82 molecule,CD82,gene
blood,HGNC:10720,selectin L,SELL,gene
blood,HGNC:11922,CD27 molecule,CD27,gene
blood,HGNC:2336,CR2,CD21,protein
blood,HGNC:1643,CD22,CD22,protein
blood,HGNC:11922,CD27,CD27,protein
blood,HGNC:11919,CD40 molecule,CD40,gene
blood,HGNC:3612,Fc epsilon receptor II,FCER2,gene
blood,HGNC:1667,CD38,CD38+/lo,protein
blood,HGNC:1645,CD24,CD24+/lo,protein
blood,HGNC:38476,immunoglobulin lambda like polypeptide 5,IGLL5,gene
blood,HGNC:11200,SRY-box transcription factor 4,SOX4,gene
blood,HGNC:1004,BAF chromatin remodeling complex subunit BCL7A,BCL7A,gene
blood,HGNC:11648,TCL1 family AKT coactivator A,TCL1A,gene
blood,HGNC:18504,Fc receptor like A,FCRLA,gene
blood,HGNC:1645,CD24 molecule,CD24,gene
blood,HGNC:1667,CD38,CD38,protein
blood,HGNC:1645,CD24,CD24,protein
blood,HGNC:1685,CD5,CD5,protein
blood,HGNC:26705,C-type lectin domain containing 9A,CLEC9A,gene
blood,HGNC:5951,cell adhesion molecule 1,CADM1,gene
blood,HGNC:1625,X-C motif chemokine receptor 1,XCR1,gene
blood,HGNC:1674,CD3E,CD3,protein
blood,HGNC:1628,CD14,CD14,protein
blood,HGNC:3619,FCGR3A,CD16,protein
blood,HGNC:7656,NCAM1,CD56,protein
blood,,,HLA-DR,protein
blood,HGNC:6152,ITGAX,CD11c+/lo,protein
blood,HGNC:6012,IL3RA,CD123,protein
blood,HGNC:11784,THBD,CD141hi,protein
blood,HGNC:26705,CLEC9A,CLEC9A,protein
blood,HGNC:1636,CD1C,CD1c-/lo,protein
blood,HGNC:1636,CD1c molecule,CD1C,gene
blood,HGNC:3609,Fc epsilon receptor Ia,FCER1A,gene
blood,HGNC:16916,C-type lectin domain containing 10A,CLEC10A,gene
blood,HGNC:4943,"major histocompatibility complex, class II, DQ alpha 2",HLA-DQA2,gene
blood,HGNC:4940,"major histocompatibility complex, class II, DP beta 1",HLA-DPB1,gene
blood,HGNC:3618,Fc gamma receptor IIb,FCGR2B,gene
blood,HGNC:11784,THBD,CD141,protein
blood,HGNC:1636,CD1C,CD1c,protein
blood,HGNC:10498,S100 calcium binding protein A8,S100A8,gene
blood,HGNC:10499,S100 calcium binding protein A9,S100A9,gene
blood,HGNC:1663,CD36 molecule,CD36,gene
blood,HGNC:1631,CD163 molecule,CD163,gene
blood,HGNC:1628,CD14,CD14-/lo,protein
blood,HGNC:4709,granzyme B,GZMB,gene
blood,HGNC:5713,joining chain of multimeric IgA and IgM,JCHAIN,gene
blood,HGNC:8824,serpin family F member 1,SERPINF1,gene
blood,HGNC:6152,ITGAX,CD11c,protein
blood,HGNC:13258,CLEC4C,CD303,protein
blood,HGNC:905,AXL receptor tyrosine kinase,AXL,gene
blood,HGNC:10875,sialic acid binding Ig like lectin 6,SIGLEC6,gene
blood,HGNC:1643,CD22 molecule,CD22,gene
blood,HGNC:6152,ITGAX,CD11c-/,protein
blood,HGNC:905,AXL,AXL,protein
