organ,id,rdfs_label,name
blood,CL:0000945,lymphocyte of B lineage,B lineage
blood,CL:0000816,immature B cell,immature B cell
blood,CL:0000787,memory B cell,memory B cell
blood,CL:0000788,naive B cell,naive B cell
blood,CL:0000818,transitional stage B cell,transitional B cell
blood,CL:0001056,"dendritic cell, human",dendritic cell (DC)
blood,CL:0002394,CD141-positive myeloid dendritic cell,dendritic cell type 1 (DC1)
blood,CL:0002399,CD1c-positive myeloid dendritic cell,dendritic cell type 2 (DC2)
blood,CL:0002399,CD1c-positive myeloid dendritic cell,dendritic cell type 3 (DC3)
blood,CL:0001058,"plasmacytoid dendritic cell, human",Plasmacytoid Dendritic Cell (pDC)
blood,CL:0000840,immature conventional dendritic cell,transitional Dendritic Cell (tDC)
blood,CL:0000576,monocyte,monocyte
blood,CL:0001054,CD14-positive monocyte,CD14 monocyte
blood,CL:0002396,"CD14-low, CD16-positive monocyte",CD16 monocyte
blood,CL:0000775,neutrophil,neutrophilic granulocyte
blood,CL:0000775,neutrophil,neutrophil
blood,CL:0000094,granulocyte,granulocyte
blood,CL:0000771,eosinophil,eosinophil
blood,CL:0000767,basophil,basophil
blood,CL:0000084,T cell,T lymphocytes
blood,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",CD4 naive
blood,CL:0000897,"CD4-positive, alpha-beta memory T cell",CD4 T cell memory
blood,CL:0001087,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CD4 T cell effector memory CD45RA
blood,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",CD8 naive
blood,CL:0001050,"effector CD8-positive, alpha-beta T cell",CD8 T cell effector memory
blood,CL:0001062,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CD8 T cell effector memory CD45RA
blood,CL:0002437,mature CD8 single-positive thymocyte,mature CD8 T cell
blood,CL:0000814,mature NK T cell,NK lymphocytes
blood,CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",CD56 bright Natural killer
blood,CL:0000824,mature natural killer cell,mature Natural killer
blood,CL:0000815,regulatory T cell,T regulatory
blood_vasculature,CL:0010008,cardiac endothelial cell,cardiac endothelial cell
blood_vasculature,CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
blood_vasculature,CL:0002543,vein endothelial cell,endothelial cell of vein
blood_vasculature,CL:1000414,endothelial cell of venule,endothelial cell of venule
blood_vasculature,CL:1000413,endothelial cell of artery,endothelial cell of artery
blood_vasculature,CL:0000057,fibroblast,fibroblast
blood_vasculature,CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
blood_vasculature,CL:0002144,capillary endothelial cell,capillary endothelial cell
blood_vasculature,CL:1000412,endothelial cell of arteriole,endothelial cell of arteriole
blood_vasculature,CL:0002262,endothelial cell of sinusoid,endothelial cell of sinusoid
bone_marrow,CL:0000945,lymphocyte of B lineage,B lineage
bone_marrow,CL:0000817,precursor B cell,precursor B cell (pre B cell)
bone_marrow,CL:0000816,immature B cell,immature B cell
bone_marrow,CL:0000787,memory B cell,memory B cell
bone_marrow,CL:0000788,naive B cell,naive B cell
bone_marrow,CL:0000786,plasma cell,plasma cell
bone_marrow,CL:0000826,pro-B cell,pro B progenitor
bone_marrow,CL:0000818,transitional stage B cell,transitional B cell
bone_marrow,CL:0001056,"dendritic cell, human",dendritic cell (DC)
bone_marrow,CL:0000990,conventional dendritic cell,dendritic cell type 1 (DC1)
bone_marrow,CL:0000990,conventional dendritic cell,dendritic cell type 2 (DC2)
bone_marrow,CL:0001056,"dendritic cell, human",dendritic cell type 3 (DC3)
bone_marrow,CL:0001058,"plasmacytoid dendritic cell, human",Plasmacytoid Dendritic Cell (pDC)
bone_marrow,CL:0000840,immature conventional dendritic cell,transitional Dendritic Cell (tDC)
bone_marrow,CL:0000764,erythroid lineage cell,erythroid
bone_marrow,CL:0000764,erythroid lineage cell,early erythroid
bone_marrow,CL:0000764,erythroid lineage cell,mid erythroid
bone_marrow,CL:0000764,erythroid lineage cell,late erythroid
bone_marrow,CL:0000556,Megakaryocyte,Megakaryocyte (MK)
bone_marrow,CL:0000556,megakaryocyte,Megakaryocyte (MK)
bone_marrow,CL:0000553,megakaryocyte progenitor cell,early Megakaryocyte (MK)
bone_marrow,CL:0000837,hematopoietic multipotent progenitor cell,hemopoietic stem cell/multipotent progenitor (HSC/MPP)
bone_marrow,CL:0000050,megakaryocyte-erythroid progenitor cell,megakaryocyte-erythroid-mast cell progenitor (MEMP)
bone_marrow,CL:0000051,common lymphoid progenitor,common lymphoid progenitor (CLP)
bone_marrow,CL:0000049,common myeloid progenitor,common myeloid progenitor (CMP)
bone_marrow,CL:0000557,granulocyte monocyte progenitor cell,granulocyte-macrophage progenitor cell (GMP)
bone_marrow,CL:0000037,hemopoietic stem cell,hemopoietic stem cell (HSC)
bone_marrow,,,lympho-myeloid progenitor cell (LMPP)
bone_marrow,CL:0000837,hematopoietic multipotent progenitor cell,multipotent progenitor cell (MPP)
bone_marrow,CL:0000576,monocyte,monocyte
bone_marrow,CL:0001054,CD14-positive monocyte,CD14 monocyte
bone_marrow,CL:0002396,"CD14-low, CD16-positive monocyte",CD16 monocyte
bone_marrow,CL:0000559,promonocyte,promonocyte
bone_marrow,,,Myeloid progenitor (MOP)
bone_marrow,CL:0000775,neutrophil,neutrophilic granulocyte
bone_marrow,CL:0002193,myelocyte,myelocyte
bone_marrow,CL:0000775,neutrophil,neutrophil
bone_marrow,CL:0000836,promyelocyte,promyelocyte
bone_marrow,CL:0000094,granulocyte,granulocyte
bone_marrow,CL:0000771,eosinophil,eosinophil
bone_marrow,CL:0000767,basophil,basophil
bone_marrow,CL:0000097,mast cell,mast cell
bone_marrow,CL:0000084,T cell,T lymphocytes
bone_marrow,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",CD4 naive
bone_marrow,CL:0000897,"CD4-positive, alpha-beta memory T cell",CD4 T cell memory
bone_marrow,CL:0001087,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CD4 T cell effector memory CD45RA
bone_marrow,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",CD8 naive
bone_marrow,CL:0000909,"CD8-positive, alpha-beta memory T cell",CD8 T cell memory
bone_marrow,,,CD8 T cell effector memory
bone_marrow,CL:0001062,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CD8 T cell effector memory CD45RA
bone_marrow,,,mature CD8 T cell
bone_marrow,CL:0000814,mature NK T cell,NK lymphocytes
bone_marrow,CL:0000938,"CD16-negative, CD56-bright natural killer cell",CD56 bright Natural Killer
bone_marrow,CL:0000824,mature natural killer cell,mature Natural killer
bone_marrow,CL:0000815,regulatory T cell,T regulatory
brain,CL:0000236,B cell,B cell
brain,,Bcell_0 Miscellaneous Non-neuron of brain,Bcell_0
brain,CL:0000084,T cell,T cell
brain,,Tcell_1 Miscellaneous Non-neuron of brain,Tcell_1
brain,CL:0000623,natural killer cell,NK cell
