Relationships,#Linkages
author & institution,464043 
AS & CT &B,178977 
publication & organ,7898258 
asctb_refs & publication,472 
asctb_refs & organ,1288 
creator & author,550 
reviewer & author,602 
dataset & donor,7337 
dataset & publication,5228 
creator & digital object,550 
reviewer & digital object,602 
author & organ,768178 
publication & funding,2616446 
funding & cleaned funder,147202 
funding & uncleaned funder,888249 
triple & organ,17092 
CellMarker/CxG refs & publication,1817 
publication & author,1079698 
AS & AS,4835 
AS & CT,7879 
CT & CT,620 
CT & B,6812 
Total,14096735 
