identifier,organ,ct
grid.412258.8,liver,3
grid.9582.6,skin,7
grid.10737.32,embryo,1
grid.411845.d,brain,1
grid.40263.33,brain,1
grid.411739.9,knee,1
grid.20258.3d,eye,1
grid.443573.2,breast,14
grid.440745.6,lung,5
grid.411688.2,lung,4
grid.459874.3,pelvis,1
grid.411953.b,heart,1
grid.411731.1,lung,1
grid.417104.7,bone marrow,3
grid.414252.4,ovary,1
grid.411898.d,breast,9
grid.412344.4,kidney,6
grid.416100.2,kidney,2
grid.412536.7,Skeletal,1
grid.416237.5,liver,1
grid.487274.a,knee,1
grid.460829.1,heart,1
grid.21072.36,embryo,1
grid.8534.a,skin,2
grid.266102.1,breast,37
grid.11598.34,liver,3
grid.452828.1,lung,2
grid.413698.1,knee,1
grid.260975.f,heart,6
grid.459662.a,heart,1
grid.459544.d,kidney,1
grid.476908.4,heart,2
grid.5132.5,eye,6
grid.468198.a,prostate,5
grid.16477.33,placenta,1
grid.411068.a,knee,2
grid.256342.4,lymph node,15
grid.419557.b,breast,3
grid.218069.4,breast,1
grid.421907.9,adipose,1
grid.31564.35,thymus,2
grid.412879.1,liver,1
grid.416979.4,liver,2
grid.207374.5,bone marrow,7
grid.410345.7,skin,2
grid.223827.e,liver,8
grid.5475.3,breast,2
grid.7644.1,placenta,6
grid.7634.6,lung,10
grid.414640.3,breast,3
grid.412406.5,kidney,2
grid.4973.9,lung,2
grid.411340.3,prostate,3
grid.265025.6,brain,3
grid.413105.2,liver,9
grid.252262.3,brain,3
grid.203458.8,prostate,3
grid.411463.5,heart,4
grid.22937.3d,skin,7
grid.4989.c,breast,3
grid.440551.1,lung,2
grid.490107.b,kidney,1
grid.458449.0,small intestine,5
grid.14003.36,lung,3
grid.430704.4,breast,2
grid.415450.1,kidney,1
grid.5491.9,skin,9
grid.258799.8,kidney,6
grid.412474.0,embryo,2
grid.411131.7,brain,1
grid.26790.3a,lung,3
grid.253856.f,heart,2
grid.415249.f,knee,4
grid.413591.b,breast,2
grid.412643.6,knee,5
grid.414105.5,breast,1
grid.413662.4,breast,1
grid.410476.0,knee,4
grid.252547.3,liver,1
grid.452387.f,breast,1
grid.415011.0,prostate,1
grid.410726.6,heart,6
grid.241167.7,breast,1
grid.419801.5,lung,4
grid.440259.e,lung,8
grid.413247.7,lung,25
grid.267313.2,breast,2
grid.411982.7,adipose,8
grid.410793.8,lymph node,10
grid.414252.4,liver,10
grid.416266.1,heart,1
grid.464481.b,brain,7
grid.411621.1,lung,2
grid.417885.7,small intestine,1
grid.50550.35,lung,1
grid.413072.3,skin,6
grid.55602.34,skin,2
grid.411701.2,Tonsil,6
grid.452666.5,lung,2
grid.443756.7,eye,2
grid.454774.1,skin,2
grid.459746.d,knee,3
grid.460789.4,breast,3
grid.6451.6,liver,5
grid.416077.3,brain,4
